Mouse_ID,Experiment,RIN,Genotype,Sex,Age_months,RLIMS.ID,Seq.Run.ID,Lane.Number,Clusters,BAM_file_name
52,X368432,CRND8,7.9,+,M,3 ,1426605076,141119_SN730_0370_BC5NBHACXX,7,754,368432.FCC5NBHACXX_L7_IAGTCAA.snap.bam
53,X368429,CRND8,7.8,+,M,3 ,1428904515,141121_D00190_0224_BC447VACXX,7,948,368429.FCC447VACXX_L7_IAGTCAA.snap.bam
54,X368129,CRND8,7.7,+,M,3 ,1426605189,141120_SN725_0445_BC5PJFACXX,7,799,368129.FCC5PJFACXX_L7_IAGTTCC.snap.bam
55,X368125,CRND8,8,+,M,3 ,1426605063,141119_SN730_0370_BC5NBHACXX,2,792,368125.FCC5NBHACXX_L2_ICTTGTA.snap.bam
56,X368124,CRND8,7.7,+,M,3 ,1428904927,141125_SN7001166_0306_AC44LLACXX,6,911,368124.FCC44LLACXX_L6_IGCCAAT.snap.bam
57,X338672,CRND8 ,7.8,-,M,6 ,Â 1428903392,141121_D00190_0224_BC447VACXX,1,938,338672.FCC447VACXX_L1_ICGATGT.snap.bam
58,X338670,CRND8 ,7.9,-,M,6 ,1426605190,141120_SN725_0445_BC5PJFACXX,7,799,338670.FCC5PJFACXX_L7_IATGTCA.snap.bam
59,X338669,CRND8 ,7.7,-,M,6 ,1428904089,141121_D00190_0224_BC447VACXX,5,948,338669.FCC447VACXX_L5_ITGACCA.snap.bam
60,X338668,CRND8 ,8,-,M,6 ,1426605057,141119_SN730_0369_AC5PVWACXX,8,737,338668.FCC5PVWACXX_L8_IGTGAAA.snap.bam
61,X333937,CRND8 ,7.8,-,M,6 ,1428903758,141121_D00190_0224_BC447VACXX,3,929,333937.FCC447VACXX_L3_IATGTCA.snap.bam
62,X331160,CRND8 ,7.5,-,M,6 ,1426605035,141119_SN730_0369_AC5PVWACXX,1,769,331160.FCC5PVWACXX_L1_ITGACCA.snap.bam
63,X331173,CRND8 ,7.3,+,F,6 ,1428903712,141121_D00190_0224_BC447VACXX,3,929,331173.FCC447VACXX_L3_IAGTCAA.snap.bam
64,X331171,CRND8 ,7.3,+,F,6 ,1426605075,141119_SN730_0370_BC5NBHACXX,6,769,331171.FCC5NBHACXX_L6_ICTTGTA.snap.bam
